date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-19-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-24-2020,5,4,0,0,0,0,5,4,-1,-1,-1,-1
03-25-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-26-2020,13,8,0,0,0,0,13,8,-1,-1,-1,-1
03-27-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-28-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-29-2020,19,6,0,0,0,0,19,6,-1,-1,-1,-1
03-30-2020,24,5,0,0,0,0,24,5,-1,-1,-1,-1
03-31-2020,30,6,0,0,0,0,30,6,-1,-1,-1,-1
04-01-2020,30,0,0,0,0,0,30,0,-1,-1,-1,-1
04-02-2020,32,2,1,1,0,0,31,1,-1,-1,-1,-1
04-03-2020,41,9,2,1,-1,-1,40,9,-1,-1,-1,-1
04-04-2020,46,5,2,0,-1,0,45,5,-1,-1,-1,-1
04-05-2020,56,10,3,1,-2,-1,55,10,-1,-1,-1,-1
04-06-2020,62,6,3,0,-2,0,61,6,-1,-1,-1,-1
04-07-2020,69,7,3,0,1,3,65,4,-1,-1,-1,-1
04-08-2020,78,9,4,1,0,-1,74,9,-1,-1,-1,-1
04-09-2020,93,15,5,1,5,5,83,9,-1,-1,-1,-1
04-10-2020,103,10,5,0,5,0,93,10,-1,-1,-1,-1
04-11-2020,117,14,6,1,4,-1,107,14,-1,-1,-1,-1
04-12-2020,118,1,6,0,9,5,103,-4,-1,-1,-1,-1
04-13-2020,125,7,6,0,13,4,106,3,-1,-1,-1,-1
04-14-2020,137,12,6,0,18,5,113,7,-1,-1,-1,-1
04-15-2020,149,12,6,0,18,0,125,12,-1,-1,-1,-1
04-16-2020,159,10,6,0,20,2,133,8,-1,-1,-1,-1
04-17-2020,164,5,6,0,27,7,131,-2,-1,-1,-1,-1
04-18-2020,177,13,7,1,30,3,140,9,-1,-1,-1,-1
04-19-2020,190,13,7,0,38,8,145,5,-1,-1,-1,-1
04-20-2020,201,11,7,0,43,5,151,6,-1,-1,-1,-1
04-21-2020,218,17,7,0,49,6,162,11,-1,-1,-1,-1
04-22-2020,225,7,7,0,56,7,162,0,-1,-1,-1,-1
04-23-2020,237,12,7,0,70,14,160,-2,-1,-1,-1,-1
04-24-2020,250,13,8,1,77,7,165,5,-1,-1,-1,-1
04-25-2020,261,11,8,0,88,11,165,0,-1,-1,-1,-1
04-26-2020,274,13,8,0,90,2,176,11,-1,-1,-1,-1
04-27-2020,298,24,8,0,96,6,194,18,-1,-1,-1,-1
04-28-2020,323,25,8,0,107,11,208,14,-1,-1,-1,-1
04-29-2020,345,22,8,0,116,9,221,13,-1,-1,-1,-1
04-30-2020,377,32,9,1,124,8,244,23,-1,-1,-1,-1
05-01-2020,395,18,9,0,129,5,257,13,-1,-1,-1,-1
05-02-2020,424,29,10,1,139,10,275,18,-1,-1,-1,-1
05-03-2020,446,22,10,0,151,12,285,10,-1,-1,-1,-1
05-04-2020,490,44,11,1,160,9,319,34,-1,-1,-1,-1
05-05-2020,555,65,12,1,174,14,369,50,-1,-1,-1,-1
05-06-2020,587,32,13,1,180,6,394,25,-1,-1,-1,-1
05-07-2020,633,46,14,1,191,11,428,34,-1,-1,-1,-1
05-08-2020,695,62,15,1,202,11,478,50,-1,-1,-1,-1
05-09-2020,742,47,15,0,213,11,514,36,-1,-1,-1,-1
05-10-2020,784,42,16,1,223,10,545,31,-1,-1,-1,-1
05-11-2020,889,105,17,1,243,20,629,84,-1,-1,-1,-1
05-12-2020,958,69,17,0,265,22,676,47,-1,-1,-1,-1
05-13-2020,998,40,18,1,283,18,697,21,-1,-1,-1,-1
05-14-2020,1037,39,20,2,309,26,708,11,-1,-1,-1,-1
05-15-2020,1112,75,20,0,324,15,768,60,-1,-1,-1,-1
05-16-2020,1210,98,23,3,347,23,840,72,-1,-1,-1,-1
05-17-2020,1265,55,25,2,365,18,875,35,-1,-1,-1,-1
05-18-2020,1338,73,27,2,401,36,910,35,-1,-1,-1,-1
05-19-2020,1413,75,30,3,453,52,930,20,-1,-1,-1,-1
05-20-2020,1498,85,30,0,480,27,988,58,-1,-1,-1,-1
05-21-2020,1571,73,31,1,519,39,1021,33,-1,-1,-1,-1
05-22-2020,1640,69,32,1,571,52,1037,16,-1,-1,-1,-1
05-23-2020,1725,85,33,1,610,39,1082,45,-1,-1,-1,-1
05-24-2020,1819,94,33,0,646,36,1140,58,-1,-1,-1,-1
05-25-2020,1915,96,35,2,733,87,1147,7,-1,-1,-1,-1
05-26-2020,1983,68,35,0,793,60,1155,8,-1,-1,-1,-1
05-27-2020,2042,59,36,1,828,35,1178,23,-1,-1,-1,-1
05-28-2020,2109,67,37,1,863,35,1209,31,-1,-1,-1,-1
05-29-2020,2194,85,39,2,925,62,1230,21,-1,-1,-1,-1
05-30-2020,2278,84,42,3,1006,81,1230,0,-1,-1,-1,-1
05-31-2020,2395,117,44,2,1052,46,1299,69,-1,-1,-1,-1
06-01-2020,2517,122,46,2,1116,64,1355,56,-1,-1,-1,-1
06-02-2020,2582,65,46,0,1187,71,1349,-6,-1,-1,-1,-1
06-03-2020,2653,71,46,0,1260,73,1347,-2,-1,-1,-1,-1
06-04-2020,2705,52,51,5,1321,61,1333,-14,-1,-1,-1,-1
06-05-2020,2781,76,52,1,1386,65,1343,10,-1,-1,-1,-1
06-06-2020,2849,68,53,1,1461,75,1335,-8,-1,-1,-1,-1
06-07-2020,2934,85,53,0,1543,82,1338,3,-1,-1,-1,-1
06-08-2020,3015,81,55,2,1635,92,1325,-13,-1,-1,-1,-1
06-09-2020,3104,89,55,0,1701,66,1348,23,-1,-1,-1,-1
06-10-2020,3274,170,64,9,1746,45,1464,116,1452,-1,1758,-1
06-11-2020,3373,99,64,0,1808,62,1501,37,1497,45,1812,54
06-12-2020,3481,108,68,4,1884,76,1529,28,1587,90,1826,14
06-13-2020,3603,122,72,4,1963,79,1568,39,1738,151,1793,-33
06-14-2020,3720,117,72,0,2067,104,1581,13,1837,99,1811,18
06-15-2020,3826,106,74,2,2176,109,1576,-5,1912,75,1840,29
06-16-2020,3941,115,76,2,2240,64,1625,49,2041,129,1824,-16
06-17-2020,4066,125,78,2,2310,70,1678,53,2137,96,1851,27
06-18-2020,4200,134,82,4,2360,50,1758,80,2235,98,1883,32
06-19-2020,4329,129,86,4,2430,70,1813,55,2310,75,1933,50
06-20-2020,4475,146,93,7,2493,63,1889,76,2449,139,1933,0
06-21-2020,4626,151,98,5,2572,79,1956,67,2535,86,1993,60
06-22-2020,4808,182,107,9,2670,98,2031,75,2670,135,2031,38
06-23-2020,4973,165,113,6,2814,144,2046,15,2814,144,2046,15
06-24-2020,5150,177,119,6,2924,110,2107,61,2924,110,2107,61
06-25-2020,5336,186,126,7,3116,192,2094,-13,3116,192,2094,-13
06-26-2020,5517,181,133,7,3291,175,2093,-1,3291,175,2093,-1
06-27-2020,5517,0,133,0,3291,0,2093,0,3291,0,2093,0
06-28-2020,5934,417,152,19,3557,266,2225,132,3557,266,2225,132
06-29-2020,6173,239,164,12,3648,91,2361,136,3648,91,2361,136
06-30-2020,6438,265,174,10,3770,122,2494,133,3770,122,2494,133
07-01-2020,6736,298,182,8,3964,194,2590,96,3964,194,2590,96
07-02-2020,7000,264,191,9,4115,151,2694,104,4115,151,2694,104
07-03-2020,7267,267,202,11,4268,153,2797,103,4268,153,2797,103
07-04-2020,7507,240,210,8,4434,166,2863,66,4434,166,2863,66
07-05-2020,7777,270,217,7,4573,139,2987,124,4573,139,2987,124
07-06-2020,8027,250,223,6,4730,157,3074,87,4730,157,3074,87
07-07-2020,8027,0,223,0,4730,0,3074,0,4730,0,3074,0
07-08-2020,8566,539,235,12,5133,403,3198,124,5133,403,3198,124
07-09-2020,8566,0,235,0,5133,0,3198,0,5133,0,3198,0
07-10-2020,9142,576,249,14,5435,302,3458,260,5435,302,3458,260
07-11-2020,9142,0,249,0,5435,0,3458,0,5435,0,3458,0
07-12-2020,9391,249,254,5,5435,0,3702,244,5435,0,3702,244
07-13-2020,9978,587,267,13,5755,320,3956,254,5755,320,3956,254
07-14-2020,10303,325,278,11,5919,164,4106,150,5919,164,4106,150
07-15-2020,10303,0,278,0,5919,0,4106,0,5919,0,4106,0
07-16-2020,10645,342,286,8,6107,188,4252,146,5919,0,4440,334
