date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-17-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-19-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-20-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-21-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-22-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-23-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-24-2020,5,3,0,0,0,0,5,3,-1,-1,-1,-1
03-25-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-26-2020,6,1,0,0,0,0,6,1,-1,-1,-1,-1
03-27-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-28-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-29-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-30-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-31-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
04-01-2020,9,3,0,0,0,0,9,3,-1,-1,-1,-1
04-02-2020,13,4,0,0,1,1,12,3,-1,-1,-1,-1
04-03-2020,13,0,0,0,1,0,12,0,-1,-1,-1,-1
04-04-2020,13,0,0,0,1,0,12,0,-1,-1,-1,-1
04-05-2020,13,0,0,0,1,0,12,0,-1,-1,-1,-1
04-06-2020,22,9,0,0,1,0,21,9,-1,-1,-1,-1
04-07-2020,23,1,1,1,3,2,19,-2,-1,-1,-1,-1
04-08-2020,26,3,1,0,3,0,22,3,-1,-1,-1,-1
04-09-2020,26,0,1,0,3,0,22,0,-1,-1,-1,-1
04-10-2020,30,4,1,0,3,0,26,4,-1,-1,-1,-1
04-11-2020,30,0,1,0,3,0,26,0,-1,-1,-1,-1
04-12-2020,35,5,1,0,3,0,31,5,-1,-1,-1,-1
04-13-2020,35,0,1,0,3,0,31,0,-1,-1,-1,-1
04-14-2020,35,0,1,0,4,1,30,-1,-1,-1,-1,-1
04-15-2020,35,0,1,0,6,2,28,-2,-1,-1,-1,-1
04-16-2020,35,0,1,0,9,3,25,-3,-1,-1,-1,-1
04-17-2020,37,2,1,0,9,0,27,2,-1,-1,-1,-1
04-18-2020,37,0,1,0,9,0,27,0,-1,-1,-1,-1
04-19-2020,37,0,1,0,9,0,27,0,-1,-1,-1,-1
04-20-2020,37,0,1,0,17,8,19,-8,-1,-1,-1,-1
04-21-2020,54,17,1,0,18,1,35,16,-1,-1,-1,-1
04-22-2020,54,0,1,0,20,2,33,-2,-1,-1,-1,-1
04-23-2020,54,0,1,0,20,0,33,0,-1,-1,-1,-1
04-24-2020,58,4,1,0,24,4,33,0,-1,-1,-1,-1
04-25-2020,58,0,1,0,24,0,33,0,-1,-1,-1,-1
04-26-2020,58,0,1,0,28,4,29,-4,-1,-1,-1,-1
04-27-2020,64,6,1,0,28,0,35,6,-1,-1,-1,-1
04-28-2020,64,0,1,0,28,0,35,0,-1,-1,-1,-1
04-29-2020,64,0,1,0,28,0,35,0,-1,-1,-1,-1
04-30-2020,69,5,2,1,28,0,39,4,-1,-1,-1,-1
05-01-2020,84,15,2,0,29,1,53,14,-1,-1,-1,-1
05-02-2020,90,6,2,0,29,0,59,6,-1,-1,-1,-1
05-03-2020,90,0,2,0,29,0,59,0,-1,-1,-1,-1
05-04-2020,90,0,2,0,31,2,57,-2,-1,-1,-1,-1
05-05-2020,96,6,2,0,45,14,49,-8,-1,-1,-1,-1
05-06-2020,102,6,2,0,45,0,55,6,-1,-1,-1,-1
05-07-2020,102,0,2,0,45,0,55,0,-1,-1,-1,-1
05-08-2020,140,38,2,0,49,4,89,34,-1,-1,-1,-1
