date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,1,1,0,0,0,0,1,1,0,0,1,1
01-23-2020,2,1,0,0,0,0,2,1,0,0,2,1
01-24-2020,5,3,0,0,0,0,5,3,0,0,5,3
01-25-2020,11,6,0,0,0,0,11,6,0,0,11,6
01-26-2020,19,8,0,0,0,0,19,8,0,0,19,8
01-27-2020,26,7,0,0,0,0,26,7,0,0,26,7
01-28-2020,44,18,0,0,0,0,44,18,0,0,44,18
01-29-2020,55,11,0,0,0,0,55,11,0,0,55,11
01-30-2020,76,21,0,0,0,0,76,21,0,0,76,21
01-31-2020,83,7,0,0,1,1,82,6,1,1,82,6
02-01-2020,93,10,0,0,2,1,91,9,2,1,91,9
02-02-2020,105,12,0,0,3,1,102,11,3,1,102,11
02-03-2020,117,12,0,0,5,2,112,10,5,2,112,10
02-04-2020,122,5,0,0,5,0,117,5,5,0,117,5
02-05-2020,124,2,0,0,5,0,119,2,5,0,119,2
02-06-2020,133,9,0,0,7,2,126,7,7,2,126,7
02-07-2020,138,5,0,0,12,5,126,0,12,5,126,0
02-08-2020,140,2,0,0,17,5,123,-3,17,5,123,-3
02-09-2020,141,1,0,0,18,1,123,0,18,1,123,0
02-10-2020,149,8,0,0,21,3,128,5,19,1,130,7
02-11-2020,154,5,0,0,35,14,119,-9,20,1,134,4
02-12-2020,155,1,0,0,44,9,111,-8,23,3,132,-2
02-13-2020,156,1,0,0,61,17,95,-16,27,4,129,-3
02-14-2020,162,6,0,0,67,6,95,0,35,8,127,-2
02-15-2020,169,7,0,0,75,8,94,-1,42,7,127,0
02-16-2020,171,2,0,0,85,10,86,-8,42,0,129,2
02-17-2020,172,1,0,0,94,9,78,-8,47,5,125,-4
02-18-2020,172,0,0,0,98,4,74,-4,57,10,115,-10
02-19-2020,172,0,1,1,99,1,72,-2,60,3,111,-4
02-20-2020,174,2,2,1,106,7,66,-6,79,19,93,-18
02-21-2020,174,0,2,0,110,4,62,-4,96,17,76,-17
02-22-2020,174,0,2,0,112,2,60,-2,107,11,65,-11
02-23-2020,174,0,2,0,115,3,57,-3,115,8,57,-8
02-24-2020,174,0,2,0,124,9,48,-9,124,9,48,-9
02-25-2020,174,0,2,0,129,5,43,-5,129,5,43,-5
02-26-2020,174,0,2,0,144,15,28,-15,144,15,28,-15
02-27-2020,174,0,2,0,150,6,22,-6,150,6,22,-6
02-28-2020,174,0,2,0,156,6,16,-6,156,6,16,-6
02-29-2020,174,0,2,0,157,1,15,-1,157,1,15,-1
