date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-20-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-21-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-22-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-23-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-24-2020,2,0,1,1,-1,-1,2,0,-1,-1,-1,-1
03-25-2020,2,0,1,0,-1,0,2,0,-1,-1,-1,-1
03-26-2020,2,0,1,0,-1,0,2,0,-1,-1,-1,-1
03-27-2020,5,3,1,0,-1,0,5,3,-1,-1,-1,-1
03-28-2020,5,0,1,0,-1,0,5,0,-1,-1,-1,-1
03-29-2020,5,0,1,0,-1,0,5,0,-1,-1,-1,-1
03-30-2020,5,0,1,0,-1,0,5,0,-1,-1,-1,-1
03-31-2020,8,3,1,0,-1,0,8,3,-1,-1,-1,-1
04-01-2020,8,0,1,0,-1,0,8,0,-1,-1,-1,-1
04-02-2020,8,0,1,0,-1,0,8,0,-1,-1,-1,-1
04-03-2020,9,1,1,0,0,1,8,0,-1,-1,-1,-1
04-04-2020,9,0,1,0,0,0,8,0,-1,-1,-1,-1
04-05-2020,9,0,1,0,0,0,8,0,-1,-1,-1,-1
04-06-2020,9,0,1,0,0,0,8,0,-1,-1,-1,-1
04-07-2020,9,0,1,0,0,0,8,0,-1,-1,-1,-1
04-08-2020,11,2,2,1,0,0,9,1,-1,-1,-1,-1
04-09-2020,11,0,3,1,-1,-1,9,0,-1,-1,-1,-1
04-10-2020,11,0,3,0,1,2,7,-2,-1,-1,-1,-1
04-11-2020,11,0,3,0,1,0,7,0,-1,-1,-1,-1
04-12-2020,13,2,3,0,1,0,9,2,-1,-1,-1,-1
04-13-2020,14,1,3,0,1,0,10,1,-1,-1,-1,-1
04-14-2020,17,3,3,0,3,2,11,1,-1,-1,-1,-1
04-15-2020,18,1,3,0,3,0,12,1,-1,-1,-1,-1
04-16-2020,23,5,3,0,3,0,17,5,-1,-1,-1,-1
04-17-2020,23,0,3,0,4,1,16,-1,-1,-1,-1,-1
04-18-2020,24,1,3,0,4,0,17,1,-1,-1,-1,-1
04-19-2020,25,1,3,0,4,0,18,1,-1,-1,-1,-1
04-20-2020,25,0,3,0,4,0,18,0,-1,-1,-1,-1
04-21-2020,25,0,3,0,4,0,18,0,-1,-1,-1,-1
04-22-2020,28,3,3,0,6,2,19,1,-1,-1,-1,-1
04-23-2020,28,0,4,1,5,-1,19,0,-1,-1,-1,-1
04-24-2020,28,0,4,0,5,0,19,0,-1,-1,-1,-1
04-25-2020,29,1,4,0,5,0,20,1,-1,-1,-1,-1
04-26-2020,31,2,4,0,7,2,20,0,-1,-1,-1,-1
04-27-2020,31,0,4,0,8,1,19,-1,-1,-1,-1,-1
04-28-2020,31,0,4,0,10,2,17,-2,-1,-1,-1,-1
04-29-2020,32,1,4,0,11,1,17,0,-1,-1,-1,-1
04-30-2020,32,0,4,0,15,4,13,-4,-1,-1,-1,-1
05-01-2020,32,0,4,0,15,0,13,0,-1,-1,-1,-1
05-02-2020,34,2,4,0,16,1,14,1,-1,-1,-1,-1
05-03-2020,34,0,4,0,17,1,13,-1,-1,-1,-1,-1
05-04-2020,34,0,4,0,17,0,13,0,-1,-1,-1,-1
05-05-2020,34,0,4,0,17,0,13,0,-1,-1,-1,-1
05-06-2020,34,0,4,0,20,3,10,-3,-1,-1,-1,-1
05-07-2020,34,0,4,0,20,0,10,0,-1,-1,-1,-1
05-08-2020,34,0,4,0,20,0,10,0,-1,-1,-1,-1
05-09-2020,34,0,4,0,21,1,9,-1,-1,-1,-1,-1
05-10-2020,35,1,4,0,23,2,8,-1,-1,-1,-1,-1
05-11-2020,36,1,4,0,23,0,9,1,-1,-1,-1,-1
05-12-2020,36,0,4,0,23,0,9,0,-1,-1,-1,-1
05-13-2020,37,1,4,0,24,1,9,0,-1,-1,-1,-1
05-14-2020,37,0,4,0,25,1,8,-1,-1,-1,-1,-1
05-15-2020,37,0,4,0,25,0,8,0,-1,-1,-1,-1
05-16-2020,42,5,4,0,27,2,11,3,-1,-1,-1,-1
05-17-2020,44,2,4,0,27,0,13,2,-1,-1,-1,-1
05-18-2020,44,0,4,0,27,0,13,0,-1,-1,-1,-1
05-19-2020,46,2,4,0,27,0,15,2,-1,-1,-1,-1
05-20-2020,46,0,4,0,28,1,14,-1,-1,-1,-1,-1
05-21-2020,48,2,4,0,28,0,16,2,-1,-1,-1,-1
05-22-2020,51,3,4,0,28,0,19,3,-1,-1,-1,-1
05-23-2020,51,0,4,0,28,0,19,0,-1,-1,-1,-1
05-24-2020,56,5,4,0,29,1,23,4,-1,-1,-1,-1
05-25-2020,56,0,4,0,30,1,22,-1,-1,-1,-1,-1
05-26-2020,56,0,4,0,30,0,22,0,-1,-1,-1,-1
05-27-2020,56,0,4,0,31,1,21,-1,-1,-1,-1,-1
05-28-2020,132,76,4,0,31,0,97,76,-1,-1,-1,-1
05-29-2020,132,0,4,0,31,0,97,0,-1,-1,-1,-1
05-30-2020,149,17,4,0,35,4,110,13,-1,-1,-1,-1
05-31-2020,174,25,4,0,37,2,133,23,-1,-1,-1,-1
06-01-2020,178,4,4,0,37,0,137,4,-1,-1,-1,-1
06-02-2020,178,0,4,0,39,2,135,-2,-1,-1,-1,-1
06-03-2020,206,28,4,0,39,0,163,28,-1,-1,-1,-1
06-04-2020,222,16,4,0,41,2,177,14,-1,-1,-1,-1
06-05-2020,222,0,4,0,43,2,175,-2,-1,-1,-1,-1
06-06-2020,265,43,4,0,43,0,218,43,-1,-1,-1,-1
06-07-2020,279,14,4,0,47,4,228,10,-1,-1,-1,-1
06-08-2020,279,0,4,0,47,0,228,0,-1,-1,-1,-1
06-09-2020,287,8,4,0,47,0,236,8,-1,-1,-1,-1
06-10-2020,320,33,4,0,49,2,267,31,49,-1,267,-1
06-11-2020,332,12,4,0,109,60,219,-48,51,2,277,10
06-12-2020,343,11,4,0,109,0,230,11,51,0,288,11
06-13-2020,356,13,4,0,124,15,228,-2,54,3,298,10
06-14-2020,356,0,4,0,144,20,208,-20,54,0,298,0
06-15-2020,387,31,4,0,148,4,235,27,54,0,329,31
06-16-2020,391,4,4,0,148,0,239,4,62,8,325,-4
06-17-2020,401,10,4,0,171,23,226,-13,63,1,334,9
06-18-2020,463,62,4,0,184,13,275,49,63,0,396,62
06-19-2020,479,16,4,0,184,0,291,16,63,0,412,16
06-20-2020,479,0,4,0,219,35,256,-35,63,0,412,0
06-21-2020,489,10,4,0,231,12,254,-2,64,1,421,9
06-22-2020,512,23,6,2,229,-2,277,23,64,0,442,21
06-23-2020,525,13,6,0,236,7,283,6,64,0,455,13
06-24-2020,530,5,6,0,262,26,262,-21,123,59,401,-54
06-25-2020,551,21,6,0,283,21,262,0,128,5,417,16
06-26-2020,561,10,6,0,292,9,263,1,135,7,420,3
06-27-2020,561,0,7,1,304,12,250,-13,135,0,419,-1
06-28-2020,567,6,7,0,307,3,253,3,142,7,418,-1
06-29-2020,574,7,7,0,333,26,234,-19,152,10,415,-3
06-30-2020,574,0,7,0,336,3,231,-3,152,0,415,0
07-01-2020,605,31,7,0,348,12,250,19,166,14,432,17
07-02-2020,605,0,7,0,401,53,197,-53,166,0,432,0
07-03-2020,625,20,7,0,414,13,204,7,176,10,442,10
07-04-2020,625,0,7,0,420,6,198,-6,176,0,442,0
07-05-2020,716,91,8,1,429,9,279,81,181,5,527,85
07-06-2020,734,18,9,1,447,18,278,-1,197,16,528,1
07-07-2020,734,0,9,0,459,12,266,-12,197,0,528,0
07-08-2020,885,151,9,0,467,8,409,143,206,9,670,142
07-09-2020,885,0,9,0,490,23,386,-23,206,0,670,0
07-10-2020,942,57,13,4,496,6,433,47,320,114,609,-61
07-11-2020,942,0,13,0,498,2,431,-2,320,0,609,0
07-12-2020,982,40,18,5,499,1,465,34,320,0,644,35
07-13-2020,985,3,18,0,510,11,457,-8,320,0,647,3
07-14-2020,1034,49,19,1,509,-1,506,49,320,0,695,48
07-15-2020,1064,30,20,1,536,27,508,2,320,0,724,29
07-16-2020,1089,25,20,0,545,9,524,16,320,0,749,25
07-17-2020,1362,273,23,3,561,16,778,254,425,105,914,165
07-18-2020,1478,116,25,2,561,0,892,114,439,14,1014,100
07-19-2020,1478,0,25,0,637,76,816,-76,439,0,1014,0
07-20-2020,1611,133,25,0,655,18,931,115,439,0,1147,133
07-21-2020,1713,102,26,1,656,1,1031,100,439,0,1248,101
07-22-2020,2034,321,26,0,781,125,1227,196,510,71,1498,250
07-23-2020,2034,0,26,0,784,3,1224,-3,510,0,1498,0
07-24-2020,2296,262,32,6,826,42,1438,214,514,4,1750,252
07-25-2020,2434,138,34,2,825,-1,1575,137,518,4,1882,132
07-26-2020,2512,78,34,0,858,33,1620,45,518,0,1960,78
07-27-2020,2704,192,36,2,861,3,1807,187,542,24,2126,166
07-28-2020,2817,113,40,4,897,36,1880,73,604,62,2173,47
07-29-2020,2879,62,41,1,925,28,1913,33,887,283,1951,-222
07-30-2020,3092,213,53,12,936,11,2103,190,924,37,2115,164
07-31-2020,3169,77,67,14,1147,211,1955,-148,1004,80,2098,-17
08-01-2020,3659,490,69,2,1239,92,2351,396,1011,7,2579,481
08-02-2020,3921,262,70,1,1251,12,2600,249,1016,5,2835,256
08-03-2020,4075,154,80,10,1353,102,2642,42,1057,41,2938,103
08-04-2020,4221,146,81,1,1435,82,2705,63,1238,181,2902,-36
08-05-2020,4221,0,81,0,1716,281,2424,-281,1238,0,2902,0
08-06-2020,4395,174,97,16,1701,-15,2597,173,1264,26,3034,132
08-07-2020,4451,56,102,5,1917,216,2432,-165,1345,81,3004,-30
08-08-2020,4575,124,102,0,2029,112,2444,12,1416,71,3057,53
08-09-2020,4649,74,104,2,2096,67,2449,5,1437,21,3108,51
08-10-2020,4748,99,104,0,2252,156,2392,-57,1524,87,3120,12
08-11-2020,4818,70,104,0,2351,99,2363,-29,1544,20,3170,50
08-12-2020,4818,0,104,0,2407,56,2307,-56,1544,0,3170,0
08-13-2020,4893,75,122,18,2565,158,2206,-101,1544,0,3227,57
08-14-2020,4990,97,128,6,2660,95,2202,-4,1544,0,3318,91
08-15-2020,5072,82,128,0,3073,413,1871,-331,1544,0,3400,82
08-16-2020,5176,104,130,2,3288,215,1758,-113,2047,503,2999,-401
08-17-2020,5261,85,132,2,3430,142,1699,-59,2047,0,3082,83
08-18-2020,5378,117,141,9,4105,675,1132,-567,4105,2058,1132,-1950
08-19-2020,5378,0,141,0,4105,0,1132,0,4105,0,1132,0
08-20-2020,5643,265,150,9,4105,0,1388,256,4105,0,1388,256
08-21-2020,5745,102,151,1,4105,0,1489,101,4105,0,1489,101
08-22-2020,5815,70,152,1,4105,0,1558,69,4105,0,1558,69
08-23-2020,5893,78,153,1,4105,0,1635,77,4105,0,1635,77
08-24-2020,5930,37,155,2,4872,767,903,-732,4872,767,903,-732
08-25-2020,6070,140,155,0,4872,0,1043,140,4872,0,1043,140
