date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-29-2020,1,0,-1,1,0,-1
01-30-2020,1,0,-1,0,0,-1
01-31-2020,1,0,-1,0,0,-1
02-01-2020,1,0,-1,0,0,-1
02-02-2020,1,0,-1,0,0,-1
02-03-2020,1,0,-1,0,0,-1
02-04-2020,1,0,-1,0,0,-1
02-05-2020,1,0,-1,0,0,-1
02-06-2020,1,0,-1,0,0,-1
02-07-2020,1,0,-1,0,0,-1
02-08-2020,1,0,-1,0,0,-1
02-09-2020,1,0,-1,0,0,-1
02-10-2020,1,0,-1,0,0,-1
02-11-2020,1,0,-1,0,0,-1
02-12-2020,1,0,-1,0,0,-1
02-13-2020,1,0,-1,0,0,-1
02-14-2020,1,0,-1,0,0,-1
02-15-2020,1,0,-1,0,0,-1
02-16-2020,1,0,-1,0,0,-1
02-17-2020,1,0,-1,0,0,-1
02-18-2020,1,0,-1,0,0,-1
02-19-2020,1,0,-1,0,0,-1
02-20-2020,1,0,-1,0,0,-1
02-21-2020,1,0,-1,0,0,-1
02-22-2020,1,0,-1,0,0,-1
02-23-2020,1,0,-1,0,0,-1
02-24-2020,1,0,-1,0,0,-1
02-25-2020,1,0,-1,0,0,-1
02-26-2020,2,0,-1,1,0,-1
02-27-2020,2,0,-1,0,0,-1
02-28-2020,2,0,-1,0,0,-1
02-29-2020,2,0,-1,0,0,-1
03-01-2020,6,0,-1,4,0,-1
03-02-2020,7,0,-1,1,0,-1
03-03-2020,7,0,-1,0,0,-1
03-04-2020,7,0,-1,0,0,-1
03-05-2020,12,0,-1,5,0,-1
03-06-2020,19,0,-1,7,0,-1
03-07-2020,19,0,-1,0,0,-1
03-08-2020,30,0,-1,11,0,-1
03-09-2020,40,0,-1,10,0,-1
03-10-2020,40,0,-1,0,0,-1
03-11-2020,40,0,-1,0,0,-1
03-12-2020,155,0,-1,115,0,-1
03-13-2020,155,0,-1,0,0,-1
03-14-2020,210,0,-1,55,0,-1
03-15-2020,267,0,-1,57,0,-1
03-16-2020,272,0,-1,5,0,-1
03-17-2020,319,0,-1,47,0,-1
03-18-2020,359,0,-1,40,0,-1
03-19-2020,369,0,-1,10,0,-1
03-20-2020,450,0,-1,81,0,-1
03-21-2020,521,1,-1,71,1,-1
03-22-2020,521,1,-1,0,0,-1
03-23-2020,626,1,-1,105,0,-1
03-24-2020,700,1,-1,74,0,-1
03-25-2020,792,1,-1,92,0,-1
03-26-2020,880,3,-1,88,2,-1
03-27-2020,958,4,-1,78,1,-1
03-28-2020,1025,7,-1,67,3,-1
03-29-2020,1218,9,-1,193,2,-1
03-30-2020,1218,11,-1,0,2,-1
03-31-2020,1313,13,-1,95,2,-1
04-01-2020,1384,17,-1,71,4,-1
04-02-2020,1446,17,-1,62,0,-1
04-03-2020,1518,19,-1,72,2,-1
04-04-2020,1615,20,-1,97,1,-1
04-05-2020,1882,25,-1,267,5,-1
04-06-2020,1927,28,-1,45,3,-1
04-07-2020,2176,28,-1,249,0,-1
04-08-2020,2308,34,-1,132,6,-1
04-09-2020,2487,40,-1,179,6,-1
04-10-2020,2605,42,-1,118,2,-1
04-11-2020,2769,48,-1,164,6,-1
04-12-2020,2905,49,-1,136,1,-1
04-13-2020,2974,56,-1,69,7,-1
04-14-2020,3064,59,-1,90,3,-1
04-15-2020,3161,64,-1,97,5,-1
04-16-2020,3237,72,-1,76,8,-1
04-17-2020,3369,75,-1,132,3,-1
04-18-2020,3489,82,-1,120,7,-1
04-19-2020,3681,90,-1,192,8,-1
04-20-2020,3783,94,-1,102,4,-1
04-21-2020,3868,98,-1,85,4,-1
04-22-2020,4014,141,-1,146,43,-1
04-23-2020,4129,149,-1,115,8,-1
04-24-2020,4284,172,-1,155,23,-1
04-25-2020,4395,177,-1,111,5,-1
04-26-2020,4475,186,-1,80,9,-1
04-27-2020,4576,190,-1,101,4,-1
04-28-2020,4695,193,-1,119,3,-1
04-29-2020,4740,199,-1,45,6,-1
04-30-2020,4906,206,-1,166,7,-1
05-01-2020,4995,211,-1,89,5,-1
05-02-2020,5051,218,-1,56,7,-1
05-03-2020,5179,220,-1,128,2,-1
05-04-2020,5254,230,-1,75,10,-1
05-05-2020,5327,240,-1,73,10,-1
05-06-2020,5412,246,-1,85,6,-1
05-07-2020,5573,252,-1,161,6,-1
05-08-2020,5673,255,-1,100,3,-1
05-09-2020,5738,260,-1,65,5,-1
05-10-2020,5880,265,-1,142,5,-1
05-11-2020,5962,267,-1,82,2,-1
05-12-2020,5984,271,-1,22,4,-1
05-13-2020,6003,275,-1,19,4,-1
05-14-2020,6054,284,-1,51,9,-1
05-15-2020,6145,287,-1,91,3,-1
05-16-2020,6228,293,-1,83,6,-1
05-17-2020,6286,297,-1,58,4,-1
05-18-2020,6347,298,-1,61,1,-1
05-19-2020,6380,300,-1,33,2,-1
05-20-2020,6399,301,-1,19,1,-1
05-21-2020,6443,304,-1,44,3,-1
05-22-2020,6493,306,-1,50,2,-1
05-23-2020,6537,306,-1,44,0,-1
05-24-2020,6568,306,-1,31,0,-1
05-25-2020,6579,307,-1,11,1,-1
05-26-2020,6599,308,-1,20,1,-1
05-27-2020,6628,312,-1,29,4,-1
05-28-2020,6692,313,-1,64,1,-1
05-29-2020,6743,313,-1,51,0,-1
05-30-2020,6776,314,-1,33,1,-1
05-31-2020,6826,316,-1,50,2,-1
06-01-2020,6859,320,-1,33,4,-1
06-02-2020,6885,320,-1,26,0,-1
06-03-2020,6887,320,-1,2,0,-1
06-04-2020,6911,321,-1,24,1,-1
06-05-2020,6911,322,-1,0,1,-1
06-06-2020,6941,322,-1,30,0,-1
06-07-2020,6964,322,-1,23,0,-1
06-08-2020,6981,323,-1,17,1,-1
06-09-2020,7001,323,-1,20,0,-1
06-10-2020,7040,324,5800,39,1,-1
06-11-2020,7064,325,6200,24,1,400
06-12-2020,7073,325,6200,9,0,0
06-13-2020,7087,325,6200,14,0,0
06-14-2020,7104,326,6200,17,1,0
06-15-2020,7108,326,6200,4,0,0
06-16-2020,7112,326,6200,4,0,0
06-17-2020,7117,326,6200,5,0,0
06-18-2020,7119,326,6200,2,0,0
06-19-2020,7133,326,6200,14,0,0
06-20-2020,7142,326,6200,9,0,0
06-21-2020,7143,326,6200,1,0,0
06-22-2020,7144,327,6400,1,1,200
06-23-2020,7155,327,6400,11,0,0
06-24-2020,7167,327,6600,12,0,200
06-25-2020,7172,327,6600,5,0,0
06-26-2020,7191,328,6600,19,1,0
06-27-2020,7191,328,6600,0,0,0
06-28-2020,7198,328,6600,7,0,0
06-29-2020,7209,328,6600,11,0,0
06-30-2020,7214,328,6600,5,0,0
07-01-2020,7236,328,6700,22,0,100
07-02-2020,7236,328,6700,0,0,0
07-03-2020,7242,328,6700,6,0,0
07-04-2020,7269,328,6700,27,0,0
07-05-2020,7270,328,6700,1,0,0
07-06-2020,7272,328,6700,2,0,0
07-07-2020,7275,328,6700,3,0,0
07-08-2020,7276,328,6800,1,0,100
07-09-2020,7283,328,6800,7,0,0
07-10-2020,7287,328,6800,4,0,0
07-11-2020,7290,328,6800,3,0,0
07-12-2020,7290,328,6800,0,0,0
07-13-2020,7295,328,6800,5,0,0
07-14-2020,7295,328,6800,0,0,0
07-15-2020,7295,328,6800,0,0,0
07-16-2020,7295,328,6800,0,0,0
07-17-2020,7301,328,6880,6,0,80
07-18-2020,7318,328,6880,17,0,0
07-19-2020,7335,328,6880,17,0,0
07-20-2020,7338,328,6880,3,0,0
07-21-2020,7340,328,6880,2,0,0
07-22-2020,7362,328,6920,22,0,40
07-23-2020,7372,328,6920,10,0,0
07-24-2020,7380,329,6920,8,1,0
07-25-2020,7388,329,6920,8,0,0
07-26-2020,7393,329,6920,5,0,0
07-27-2020,7398,329,6920,5,0,0
07-28-2020,7404,329,6920,6,0,0
07-29-2020,7414,329,6950,10,0,30
07-30-2020,7423,329,6950,9,0,0
07-31-2020,7432,329,6950,9,0,0
08-01-2020,7443,329,6950,11,0,0
08-02-2020,7453,329,6950,10,0,0
08-03-2020,7466,329,6950,13,0,0
08-04-2020,7483,331,6950,17,2,0
08-05-2020,7512,331,6980,29,0,30
08-06-2020,7532,331,6980,20,0,0
08-07-2020,7554,331,6980,22,0,0
08-08-2020,7568,331,6980,14,0,0
08-09-2020,7584,331,6980,16,0,0
08-10-2020,7601,333,6980,17,2,0
08-11-2020,7623,333,6980,22,0,0
08-12-2020,7623,333,6980,0,0,0
08-13-2020,7642,333,6980,19,0,0
08-14-2020,7683,333,6980,41,0,0
08-15-2020,7700,333,6980,17,0,0
08-16-2020,7731,333,7050,31,0,70
08-17-2020,7731,333,7050,0,0,0
08-18-2020,7776,334,7050,45,1,0
08-19-2020,7805,334,7050,29,0,0
08-20-2020,7842,334,7050,37,0,0
08-21-2020,7871,334,7100,29,0,50
08-22-2020,7906,334,7100,35,0,0
08-23-2020,7920,334,7100,14,0,0
08-24-2020,7938,334,7100,18,0,0
08-25-2020,7981,335,7100,43,1,0
