date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-11-2020,1,0,-1,1,0,-1
03-12-2020,1,0,-1,0,0,-1
03-13-2020,1,0,-1,0,0,-1
03-14-2020,2,0,-1,1,0,-1
03-15-2020,2,0,-1,0,0,-1
03-16-2020,2,0,-1,0,0,-1
03-17-2020,3,0,-1,1,0,-1
03-18-2020,7,0,-1,4,0,-1
03-19-2020,14,0,-1,7,0,-1
03-20-2020,14,0,-1,0,0,-1
03-21-2020,23,1,-1,9,1,-1
03-22-2020,23,1,-1,0,0,-1
03-23-2020,30,2,-1,7,1,-1
03-24-2020,36,2,-1,6,0,-1
03-25-2020,45,2,-1,9,0,-1
03-26-2020,51,3,-1,6,1,-1
03-27-2020,54,4,-1,3,1,-1
03-28-2020,58,5,-1,4,1,-1
03-29-2020,68,6,-1,10,1,-1
03-30-2020,81,8,-1,13,2,-1
03-31-2020,98,8,-1,17,0,-1
04-01-2020,109,9,-1,11,1,-1
04-02-2020,123,11,-1,14,2,-1
04-03-2020,134,13,-1,11,2,-1
04-04-2020,148,16,-1,14,3,-1
04-05-2020,148,16,-1,0,0,-1
04-06-2020,161,18,-1,13,2,-1
04-07-2020,161,18,-1,0,0,-1
04-08-2020,183,20,-1,22,2,-1
04-09-2020,207,20,-1,24,0,-1
04-10-2020,215,20,-1,8,0,-1
04-11-2020,215,20,-1,0,0,-1
04-12-2020,223,20,-1,8,0,-1
04-13-2020,235,20,-1,12,0,-1
04-14-2020,241,20,-1,6,0,-1
04-15-2020,254,21,-1,13,1,-1
04-16-2020,267,22,-1,13,1,-1
04-17-2020,287,23,-1,20,1,-1
04-18-2020,287,23,-1,0,0,-1
04-19-2020,327,25,-1,40,2,-1
04-20-2020,332,25,-1,5,0,-1
04-21-2020,350,25,-1,18,0,-1
04-22-2020,359,25,-1,9,0,-1
04-23-2020,359,25,-1,0,0,-1
04-24-2020,394,25,-1,35,0,-1
04-25-2020,416,28,-1,22,3,-1
04-26-2020,442,28,-1,26,0,-1
04-27-2020,459,28,-1,17,0,-1
04-28-2020,471,30,-1,12,2,-1
04-29-2020,491,30,-1,20,0,-1
04-30-2020,500,31,-1,9,1,-1
05-01-2020,572,31,-1,72,0,-1
05-02-2020,604,32,-1,32,1,-1
05-03-2020,674,33,-1,70,1,-1
05-04-2020,682,34,-1,8,1,-1
05-05-2020,682,34,-1,0,0,-1
05-06-2020,705,34,-1,23,0,-1
05-07-2020,797,35,-1,92,1,-1
05-08-2020,897,36,-1,100,1,-1
05-09-2020,937,39,-1,40,3,-1
05-10-2020,991,41,-1,54,2,-1
05-11-2020,1024,41,-1,33,0,-1
05-12-2020,1102,44,-1,78,3,-1
05-13-2020,1169,50,-1,67,6,-1
05-14-2020,1242,50,-1,73,0,-1
05-15-2020,1298,50,-1,56,0,-1
05-16-2020,1369,60,-1,71,10,-1
05-17-2020,1454,60,-1,85,0,-1
05-18-2020,1454,60,-1,0,0,-1
05-19-2020,1537,60,-1,83,0,-1
05-20-2020,1730,60,-1,193,0,-1
05-21-2020,1834,60,-1,104,0,-1
05-22-2020,1944,62,-1,110,2,-1
05-23-2020,1944,62,-1,0,0,-1
05-24-2020,2140,62,-1,196,0,-1
05-25-2020,2140,62,-1,0,0,-1
05-26-2020,2304,66,-1,164,4,-1
05-27-2020,2402,67,-1,98,1,-1
05-28-2020,2659,68,-1,257,1,-1
05-29-2020,2832,68,-1,173,0,-1
05-30-2020,2832,68,-1,0,0,-1
05-31-2020,2965,68,-1,133,0,-1
06-01-2020,3048,71,-1,83,3,-1
06-02-2020,3194,71,-1,146,0,-1
06-03-2020,3325,71,-1,131,0,-1
06-04-2020,3494,74,-1,169,3,-1
06-05-2020,3643,77,-1,149,3,-1
06-06-2020,3763,80,-1,120,3,-1
06-07-2020,3877,81,-1,114,1,-1
06-08-2020,4015,84,-1,138,3,-1
06-09-2020,4105,87,-1,90,3,-1
06-10-2020,4390,96,565,285,9,-1
06-11-2020,4515,98,567,125,2,2
06-12-2020,4637,101,580,122,3,13
