date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-11-2020,1,0,0,1,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,1,0,0,0,0,0
03-14-2020,1,0,0,0,0,0
03-15-2020,1,0,0,0,0,0
03-16-2020,1,0,0,0,0,0
03-17-2020,5,0,0,4,0,0
03-18-2020,7,0,0,2,0,0
03-19-2020,19,0,0,12,0,0
03-20-2020,26,0,0,7,0,0
03-21-2020,28,0,0,2,0,0
03-22-2020,30,0,0,2,0,0
03-23-2020,33,0,0,3,0,0
03-24-2020,36,0,0,3,0,0
03-25-2020,45,0,0,9,0,0
03-26-2020,58,0,0,13,0,0
03-27-2020,68,1,0,10,1,0
03-28-2020,94,1,0,26,0,0
03-29-2020,98,1,0,4,0,0
03-30-2020,109,3,0,11,2,0
03-31-2020,122,3,0,13,0,0
04-01-2020,147,3,0,25,0,0
04-02-2020,159,3,0,12,0,0
04-03-2020,173,3,0,14,0,0
04-04-2020,186,3,0,13,0,0
04-05-2020,207,3,0,21,0,0
04-06-2020,225,3,0,18,0,0
04-07-2020,237,4,82,12,1,82
04-08-2020,251,4,98,14,0,16
04-09-2020,269,5,101,18,1,3
04-10-2020,278,6,105,9,1,4
04-11-2020,293,7,119,15,1,14
04-12-2020,308,8,121,15,1,2
04-13-2020,331,8,127,23,0,6
04-14-2020,341,9,138,10,1,11
04-15-2020,365,9,142,24,0,4
04-16-2020,393,9,163,28,0,21
04-17-2020,439,9,172,46,0,9
04-18-2020,528,9,183,89,0,11
04-19-2020,585,10,189,57,1,6
04-20-2020,627,13,189,42,3,0
04-21-2020,644,13,214,17,0,25
04-22-2020,679,14,229,35,1,15
04-23-2020,709,15,269,30,1,40
04-24-2020,748,15,269,39,0,0
04-25-2020,803,16,310,55,1,41
04-26-2020,867,17,326,64,1,16
04-27-2020,942,19,350,75,2,24
04-28-2020,991,19,409,49,0,59
04-29-2020,1033,19,437,42,0,28
04-30-2020,1067,19,458,34,0,21
05-01-2020,1107,23,482,40,4,24
05-02-2020,1153,24,510,46,1,28
05-03-2020,1191,25,517,38,1,7
05-04-2020,1225,25,540,34,0,23
05-05-2020,1266,25,559,41,0,19
05-06-2020,1323,31,582,57,6,23
05-07-2020,1371,31,601,48,0,19
05-08-2020,1425,33,714,54,2,113
05-09-2020,1464,35,762,39,2,48
05-10-2020,1491,35,792,27,0,30
05-11-2020,1518,36,846,27,1,54
05-12-2020,1571,38,877,53,2,31
05-13-2020,1647,40,969,76,2,92
05-14-2020,1712,40,1007,65,0,38
05-15-2020,1761,42,1071,49,2,64
05-16-2020,1848,42,1111,87,0,40
05-17-2020,1900,43,1178,52,1,67
05-18-2020,1931,44,1219,31,1,41
05-19-2020,1994,45,1269,63,1,50
05-20-2020,2095,49,1302,101,4,33
05-21-2020,2229,51,1340,134,2,38
05-22-2020,2317,52,1405,88,1,65
05-23-2020,2317,52,1451,0,0,46
05-24-2020,2366,53,1496,49,1,45
05-25-2020,2404,54,1551,38,1,55
05-26-2020,2422,54,1701,18,0,150
05-27-2020,2439,56,1762,17,2,61
05-28-2020,2481,57,1793,42,1,31
05-29-2020,2520,59,1882,39,2,89
05-30-2020,2554,60,1943,34,1,61
05-31-2020,2577,61,1959,23,1,16
06-01-2020,2625,61,2078,48,0,119
06-02-2020,2646,65,2127,21,4,49
06-03-2020,2679,66,2169,33,1,42
06-04-2020,2706,66,2209,27,0,40
06-05-2020,2745,71,2242,39,5,33
06-06-2020,2816,72,2268,71,1,26
06-07-2020,2861,72,2307,45,0,39
06-08-2020,2880,72,2336,19,0,29
06-09-2020,2901,72,2450,21,0,114
06-10-2020,2941,73,2483,40,1,33
06-11-2020,2980,74,2516,39,1,33
06-12-2020,3016,74,2574,36,0,58
06-13-2020,3058,74,2630,42,0,56
06-14-2020,3080,74,2658,22,0,28
06-15-2020,3101,74,2683,21,0,25
06-16-2020,3124,74,2720,23,0,37
06-17-2020,3166,74,2756,42,0,36
06-18-2020,3193,75,2809,27,1,53
06-19-2020,3226,76,2840,33,1,31
06-20-2020,3251,76,2882,25,0,42
06-21-2020,3288,77,2910,37,1,28
06-22-2020,3313,77,2952,25,0,42
06-23-2020,3320,78,3009,7,1,57
06-24-2020,3362,78,3045,42,0,36
06-25-2020,3393,78,3064,31,0,19
06-26-2020,3421,78,3090,28,0,26
06-27-2020,3458,78,3119,37,0,29
06-28-2020,3495,79,3139,37,1,20
06-29-2020,3539,79,3164,44,0,25
06-30-2020,3576,79,3195,37,0,31
07-01-2020,3615,80,3210,39,1,15
07-02-2020,3657,80,3236,42,0,26
07-03-2020,3722,80,3266,65,0,30
07-04-2020,3779,80,3288,57,0,22
07-05-2020,3816,80,3324,37,0,36
07-06-2020,3849,80,3350,33,0,26
07-07-2020,3898,84,3413,49,4,63
07-08-2020,3971,85,3447,73,1,34
07-09-2020,4071,85,3464,100,0,17
07-10-2020,4155,85,3496,84,0,32
07-11-2020,4243,87,3533,88,2,37
07-12-2020,4334,87,3570,91,0,37
07-13-2020,4442,87,3653,108,0,83
07-14-2020,4493,88,3685,51,1,32
07-15-2020,4565,88,3760,72,0,75
07-16-2020,4668,89,3796,103,1,36
07-17-2020,4792,90,3903,124,1,107
07-18-2020,4907,90,4030,115,0,127
07-19-2020,5019,92,4132,112,2,102
07-20-2020,5126,93,4220,107,1,88
07-21-2020,5207,94,4319,81,1,99
07-22-2020,5367,96,4407,160,2,88
07-23-2020,5493,97,4475,126,1,68
07-24-2020,5614,99,4545,121,2,70
07-25-2020,5736,99,4671,122,0,126
07-26-2020,5876,100,4752,140,1,81
07-27-2020,5986,100,4829,110,0,77
07-28-2020,6141,100,4957,155,0,128
07-29-2020,6227,102,5087,86,2,130
07-30-2020,6301,103,5181,74,1,94
07-31-2020,6469,103,5290,168,0,109
08-01-2020,6602,103,5396,133,0,106
08-02-2020,6660,105,5477,58,2,81
08-03-2020,6785,105,5591,125,0,114
08-04-2020,6933,107,5716,148,2,125
08-05-2020,7057,108,5839,124,1,123
08-06-2020,7177,109,5951,120,1,112
08-07-2020,7327,110,6165,150,1,214
08-08-2020,7508,112,6268,181,2,103
08-09-2020,7596,112,6357,88,0,89
08-10-2020,7713,113,6435,117,1,78
08-11-2020,7885,118,6668,172,5,233
08-12-2020,7970,120,6815,85,2,147
08-13-2020,8171,120,6953,201,0,138
08-14-2020,8322,121,7066,151,1,113
08-15-2020,8444,121,7162,122,0,96
08-16-2020,8587,125,7249,143,4,87
08-17-2020,8647,126,7343,60,1,94
