date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-12-2020,1,0,0,1,0,0
03-13-2020,1,0,0,0,0,0
03-14-2020,1,0,0,0,0,0
03-15-2020,1,0,0,0,0,0
03-16-2020,3,0,0,2,0,0
03-17-2020,6,0,0,3,0,0
03-18-2020,9,0,0,3,0,0
03-19-2020,12,0,0,3,0,0
03-20-2020,12,0,0,0,0,0
03-21-2020,21,0,0,9,0,0
03-22-2020,32,0,0,11,0,0
03-23-2020,36,0,0,4,0,0
03-24-2020,42,0,0,6,0,0
03-25-2020,43,1,0,1,1,0
03-26-2020,59,1,0,16,0,0
03-27-2020,85,2,0,26,1,0
03-28-2020,102,2,0,17,0,0
03-29-2020,114,3,0,12,1,0
03-30-2020,119,3,0,5,0,0
03-31-2020,133,3,0,14,0,0
04-01-2020,143,3,0,10,0,0
04-02-2020,147,3,0,4,0,0
04-03-2020,157,3,0,10,0,0
04-04-2020,171,5,0,14,2,0
04-05-2020,185,6,0,14,1,0
04-06-2020,191,6,0,6,0,0
04-07-2020,213,6,29,22,0,29
04-08-2020,226,7,32,13,1,3
04-09-2020,235,7,49,9,0,17
04-10-2020,246,7,55,11,0,6
04-11-2020,257,8,55,11,1,0
04-12-2020,272,8,66,15,0,11
04-13-2020,277,8,66,5,0,0
04-14-2020,285,9,66,8,1,0
04-15-2020,293,9,106,8,0,40
04-16-2020,300,9,106,7,0,0
04-17-2020,309,9,110,9,0,4
04-18-2020,314,9,128,5,0,18
04-19-2020,319,9,153,5,0,25
04-20-2020,321,9,153,2,0,0
04-21-2020,329,9,168,8,0,15
04-22-2020,335,9,168,6,0,0
04-23-2020,337,9,209,2,0,41
04-24-2020,339,9,208,2,0,-1
04-25-2020,339,9,217,0,0,9
04-26-2020,341,9,217,2,0,0
04-27-2020,345,9,218,4,0,1
04-28-2020,351,9,218,6,0,0
04-29-2020,355,9,218,4,0,0
04-30-2020,355,9,252,0,0,34
05-01-2020,364,9,254,9,0,2
05-02-2020,365,9,261,1,0,7
05-03-2020,368,9,263,3,0,2
05-04-2020,370,9,264,2,0,1
05-05-2020,371,9,277,1,0,13
05-06-2020,372,10,286,1,1,9
05-07-2020,374,10,292,2,0,6
05-08-2020,377,10,305,3,0,13
05-09-2020,378,10,318,1,0,13
05-10-2020,379,10,324,1,0,6
05-11-2020,379,10,324,0,0,0
05-12-2020,383,10,334,4,0,10
05-13-2020,383,10,334,0,0,0
05-14-2020,383,10,334,0,0,0
05-15-2020,388,10,343,5,0,9
05-16-2020,388,10,343,0,0,0
05-17-2020,388,10,343,0,0,0
05-18-2020,400,10,368,12,0,25
05-19-2020,400,10,371,0,0,3
05-20-2020,402,10,352,2,0,-19
05-21-2020,402,10,356,0,0,4
05-22-2020,404,10,356,2,0,0
05-23-2020,408,10,358,4,0,2
05-24-2020,408,10,358,0,0,0
05-25-2020,409,10,361,1,0,3
05-26-2020,411,10,362,2,0,1
05-27-2020,412,10,364,1,0,2
05-28-2020,425,10,366,13,0,2
05-29-2020,430,10,367,5,0,1
05-30-2020,434,10,368,4,0,1
05-31-2020,460,10,368,26,0,0
06-01-2020,467,10,368,7,0,0
06-02-2020,487,10,371,20,0,3
06-03-2020,505,10,373,18,0,2
06-04-2020,513,10,376,8,0,3
06-05-2020,524,10,380,11,0,4
06-06-2020,536,10,382,12,0,2
06-07-2020,544,10,382,8,0,0
06-08-2020,563,10,384,19,0,2
06-09-2020,573,11,389,10,1,5
06-10-2020,593,11,392,20,0,3
06-11-2020,610,11,397,17,0,5
06-12-2020,625,12,403,15,1,6
06-13-2020,654,12,405,29,0,2
06-14-2020,661,12,411,7,0,6
06-15-2020,664,12,417,3,0,6
06-16-2020,676,12,429,12,0,12
06-17-2020,696,12,438,20,0,9
06-18-2020,708,12,449,12,0,11
06-19-2020,722,12,457,14,0,8
06-20-2020,743,12,464,21,0,7
06-21-2020,755,12,475,12,0,11
06-22-2020,761,12,491,6,0,16
06-23-2020,763,12,491,2,0,0
06-24-2020,793,12,502,30,0,11
06-25-2020,816,12,513,23,0,11
06-26-2020,836,14,518,20,2,5
06-27-2020,854,14,518,18,0,0
06-28-2020,883,14,518,29,0,0
06-29-2020,904,14,518,21,0,0
06-30-2020,940,14,518,36,0,0
07-01-2020,978,14,518,38,0,0
07-02-2020,1017,14,518,39,0,0
07-03-2020,1063,15,539,46,1,21
07-04-2020,1111,16,539,48,1,0
07-05-2020,1138,16,539,27,0,0
07-06-2020,1166,16,539,28,0,0
07-07-2020,1184,17,539,18,1,0
07-08-2020,1226,17,563,42,0,24
07-09-2020,1272,17,563,46,0,0
07-10-2020,1323,17,588,51,0,25
07-11-2020,1385,17,588,62,0,0
07-12-2020,1479,17,588,94,0,0
07-13-2020,1539,17,588,60,0,0
07-14-2020,1579,17,588,40,0,0
07-15-2020,1631,17,588,52,0,0
07-16-2020,1693,17,688,62,0,100
