date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-06-2020,2,0,-1,2,0,-1
03-07-2020,2,0,-1,0,0,-1
03-08-2020,2,0,-1,0,0,-1
03-09-2020,2,0,-1,0,0,-1
03-10-2020,2,0,-1,0,0,-1
03-11-2020,2,0,-1,0,0,-1
03-12-2020,2,0,-1,0,0,-1
03-13-2020,2,0,-1,0,0,-1
03-14-2020,3,0,-1,1,0,-1
03-15-2020,3,0,-1,0,0,-1
03-16-2020,5,0,-1,2,0,-1
03-17-2020,5,0,-1,0,0,-1
03-18-2020,10,0,-1,5,0,-1
03-19-2020,15,0,-1,5,0,-1
03-20-2020,22,0,-1,7,0,-1
03-21-2020,27,0,-1,5,0,-1
03-22-2020,27,0,-1,0,0,-1
03-23-2020,40,0,-1,13,0,-1
03-24-2020,70,0,-1,30,0,-1
03-25-2020,70,1,-1,0,1,-1
03-26-2020,75,1,-1,5,0,-1
03-27-2020,75,1,-1,0,0,-1
03-28-2020,75,1,-1,0,0,-1
03-29-2020,91,2,-1,16,1,-1
03-30-2020,113,2,-1,22,0,-1
03-31-2020,139,6,-1,26,4,-1
04-01-2020,139,6,-1,0,0,-1
04-02-2020,139,6,-1,0,0,-1
04-03-2020,246,7,-1,107,1,-1
04-04-2020,509,8,-1,263,1,-1
04-05-2020,555,9,-1,46,1,-1
04-06-2020,555,9,-1,0,0,-1
04-07-2020,555,9,-1,0,0,-1
04-08-2020,555,9,-1,0,0,-1
04-09-2020,730,10,-1,175,1,-1
04-10-2020,730,10,-1,0,0,-1
04-11-2020,803,10,-1,73,0,-1
04-12-2020,803,10,-1,0,0,-1
04-13-2020,803,10,-1,0,0,-1
04-14-2020,803,10,-1,0,0,-1
04-15-2020,855,15,-1,52,5,-1
04-16-2020,855,17,-1,0,2,-1
04-17-2020,855,17,-1,0,0,-1
04-18-2020,1016,21,-1,161,4,-1
04-19-2020,1016,21,-1,0,0,-1
04-20-2020,1016,21,-1,0,0,-1
04-21-2020,1163,42,-1,147,21,-1
04-22-2020,1163,43,-1,0,1,-1
04-23-2020,1163,43,-1,0,0,-1
04-24-2020,1401,49,-1,238,6,-1
04-25-2020,1403,49,-1,2,0,-1
04-26-2020,1518,53,-1,115,4,-1
04-27-2020,1621,56,-1,103,3,-1
04-28-2020,1621,56,-1,0,0,-1
04-29-2020,1705,58,-1,84,2,-1
04-30-2020,1806,59,-1,101,1,-1
05-01-2020,1832,61,-1,26,2,-1
05-02-2020,2069,61,-1,237,0,-1
05-03-2020,2077,64,-1,8,3,-1
05-04-2020,2077,64,-1,0,0,-1
05-05-2020,2077,64,-1,0,0,-1
05-06-2020,2265,108,-1,188,44,-1
05-07-2020,2265,108,-1,0,0,-1
05-08-2020,2265,108,-1,0,0,-1
05-09-2020,2265,108,-1,0,0,-1
05-10-2020,2335,110,-1,70,2,-1
05-11-2020,2579,114,-1,244,4,-1
05-12-2020,2579,114,-1,0,0,-1
05-13-2020,2689,125,-1,110,11,-1
05-14-2020,2800,136,-1,111,11,-1
05-15-2020,2954,139,-1,154,3,-1
05-16-2020,3047,139,-1,93,0,-1
05-17-2020,3047,139,-1,0,0,-1
05-18-2020,3047,139,-1,0,0,-1
05-19-2020,3529,140,-1,482,1,-1
05-20-2020,3529,140,-1,0,0,-1
05-21-2020,3733,146,-1,204,6,-1
05-22-2020,4288,156,-1,555,10,-1
05-23-2020,4400,159,-1,112,3,-1
05-24-2020,4400,159,-1,0,0,-1
05-25-2020,4400,159,-1,0,0,-1
05-26-2020,4890,165,-1,490,6,-1
05-27-2020,5436,177,-1,546,12,-1
05-28-2020,5436,177,-1,0,0,-1
05-29-2020,5436,177,-1,0,0,-1
05-30-2020,5436,177,-1,0,0,-1
05-31-2020,5659,185,-1,223,8,-1
06-01-2020,5904,191,-1,245,6,-1
06-02-2020,6397,199,-1,493,8,-1
06-03-2020,6585,200,-1,188,1,-1
06-04-2020,6752,200,-1,167,0,-1
06-05-2020,6789,203,-1,37,3,-1
06-06-2020,7392,205,-1,603,2,-1
06-07-2020,7599,212,-1,207,7,-1
06-08-2020,7860,215,-1,261,3,-1
06-09-2020,8060,215,-1,200,0,-1
06-10-2020,8681,215,4836,621,0,-1
06-11-2020,8681,215,4836,0,0,0
06-12-2020,8681,215,4836,0,0,0
06-13-2020,8743,270,4836,62,55,0
06-14-2020,8743,270,4836,0,0,0
06-15-2020,9864,276,5570,1121,6,734
06-16-2020,9864,276,5570,0,0,0
06-17-2020,9864,276,5570,0,0,0
06-18-2020,9864,276,5570,0,0,0
06-19-2020,10638,282,7548,774,6,1978
06-20-2020,11610,301,7702,972,19,154
06-21-2020,11892,303,7710,282,2,8
06-22-2020,12041,308,7740,149,5,30
06-23-2020,12270,313,7774,229,5,34
06-24-2020,12592,313,10100,322,0,2326
06-25-2020,12592,313,10100,0,0,0
06-26-2020,12592,313,10100,0,0,0
06-27-2020,12592,313,10100,0,0,0
06-28-2020,12592,313,10100,0,0,0
06-29-2020,12592,313,10100,0,0,0
06-30-2020,12592,313,10100,0,0,0
07-01-2020,12592,313,10100,0,0,0
07-02-2020,12592,313,10100,0,0,0
07-03-2020,12592,313,10100,0,0,0
07-04-2020,13711,328,11114,1119,15,1014
07-05-2020,13711,328,11114,0,0,0
07-06-2020,14037,330,11114,326,2,0
07-07-2020,14524,342,11114,487,12,0
07-08-2020,14916,359,11525,392,17,411
07-09-2020,14916,359,11525,0,0,0
07-10-2020,14916,359,11525,0,0,0
07-11-2020,14916,359,11525,0,0,0
07-12-2020,14916,359,11525,0,0,0
07-13-2020,15173,359,11928,257,0,403
07-14-2020,15173,359,11928,0,0,0
07-15-2020,15173,359,11928,0,0,0
07-16-2020,16057,369,11928,884,10,0
07-17-2020,16157,373,13728,100,4,1800
07-18-2020,16157,373,13728,0,0,0
07-19-2020,16157,373,13728,0,0,0
07-20-2020,16157,373,13728,0,0,0
07-21-2020,16522,382,13728,365,9,0
07-22-2020,16522,382,13728,0,0,0
07-23-2020,16522,382,13728,0,0,0
07-24-2020,16708,385,14539,186,3,811
07-25-2020,16708,385,14539,0,0,0
07-26-2020,16708,385,14539,0,0,0
07-27-2020,17110,391,14539,402,6,0
07-28-2020,17179,391,14539,69,0,0
07-29-2020,17255,391,15320,76,0,781
07-30-2020,17255,391,15320,0,0,0
07-31-2020,17255,391,15320,0,0,0
08-01-2020,17255,391,15320,0,0,0
08-02-2020,17255,391,15320,0,0,0
08-03-2020,17255,391,15320,0,0,0
08-04-2020,17718,391,15320,463,0,0
08-05-2020,17718,391,15320,0,0,0
08-06-2020,17718,391,15320,0,0,0
08-07-2020,17718,393,15996,0,2,676
08-08-2020,18042,395,15996,324,2,0
08-09-2020,18042,395,15996,0,0,0
08-10-2020,18042,395,15996,0,0,0
08-11-2020,18213,398,15996,171,3,0
08-12-2020,18263,401,15996,50,3,0
08-13-2020,18308,401,15996,45,0,0
08-14-2020,18469,401,15996,161,0,0
08-15-2020,18469,403,16538,0,2,542
08-16-2020,18469,403,16538,0,0,0
08-17-2020,18582,403,16538,113,0,0
08-18-2020,18599,406,16538,17,3,0
08-19-2020,18624,406,16538,25,0,0
08-20-2020,18762,408,16538,138,2,0
08-21-2020,18762,408,17065,0,0,527
08-22-2020,18762,408,17065,0,0,0
08-23-2020,18762,408,17065,0,0,0
08-24-2020,18762,408,17065,0,0,0
08-25-2020,18973,410,17065,211,2,0
