date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-14-2020,2,0,-1,2,0,-1
03-15-2020,2,0,-1,0,0,-1
03-16-2020,2,0,-1,0,0,-1
03-17-2020,2,0,-1,0,0,-1
03-18-2020,2,0,-1,0,0,-1
03-19-2020,3,0,-1,1,0,-1
03-20-2020,3,0,-1,0,0,-1
03-21-2020,3,0,-1,0,0,-1
03-22-2020,3,0,-1,0,0,-1
03-23-2020,3,0,-1,0,0,-1
03-24-2020,3,0,-1,0,0,-1
03-25-2020,4,0,-1,1,0,-1
03-26-2020,8,0,-1,4,0,-1
03-27-2020,8,0,-1,0,0,-1
03-28-2020,8,0,-1,0,0,-1
03-29-2020,11,0,-1,3,0,-1
03-30-2020,11,0,-1,0,0,-1
03-31-2020,11,0,-1,0,0,-1
04-01-2020,11,0,-1,0,0,-1
04-02-2020,13,0,-1,2,0,-1
04-03-2020,13,0,-1,0,0,-1
04-04-2020,13,0,-1,0,0,-1
04-05-2020,14,0,-1,1,0,-1
04-06-2020,16,0,-1,2,0,-1
04-07-2020,16,0,-1,0,0,-1
04-08-2020,16,0,-1,0,0,-1
04-09-2020,16,0,-1,0,0,-1
04-10-2020,16,0,-1,0,0,-1
04-11-2020,16,0,-1,0,0,-1
04-12-2020,16,0,-1,0,0,-1
04-13-2020,16,0,-1,0,0,-1
04-14-2020,16,0,-1,0,0,-1
04-15-2020,16,0,-1,0,0,-1
04-16-2020,16,0,-1,0,0,-1
04-17-2020,16,0,-1,0,0,-1
04-18-2020,16,0,-1,0,0,-1
04-19-2020,16,0,-1,0,0,-1
04-20-2020,16,0,-1,0,0,-1
04-21-2020,16,0,-1,0,0,-1
04-22-2020,16,0,-1,0,0,-1
04-23-2020,16,0,-1,0,0,-1
04-24-2020,16,0,-1,0,0,-1
04-25-2020,16,0,-1,0,0,-1
04-26-2020,16,0,-1,0,0,-1
04-27-2020,16,0,-1,0,0,-1
04-28-2020,16,0,-1,0,0,-1
04-29-2020,16,0,-1,0,0,-1
04-30-2020,16,0,-1,0,0,-1
05-01-2020,16,0,-1,0,0,-1
05-02-2020,16,0,-1,0,0,-1
05-03-2020,16,0,-1,0,0,-1
05-04-2020,16,0,-1,0,0,-1
05-05-2020,16,0,-1,0,0,-1
05-06-2020,16,0,-1,0,0,-1
05-07-2020,16,0,-1,0,0,-1
05-08-2020,16,0,-1,0,0,-1
05-09-2020,16,0,-1,0,0,-1
05-10-2020,16,0,-1,0,0,-1
05-11-2020,16,0,-1,0,0,-1
05-12-2020,16,0,-1,0,0,-1
05-13-2020,16,0,-1,0,0,-1
05-14-2020,16,0,-1,0,0,-1
05-15-2020,16,0,-1,0,0,-1
05-16-2020,16,0,-1,0,0,-1
05-17-2020,16,0,-1,0,0,-1
05-18-2020,16,0,-1,0,0,-1
05-19-2020,16,0,-1,0,0,-1
05-20-2020,16,0,-1,0,0,-1
05-21-2020,16,0,-1,0,0,-1
05-22-2020,18,0,-1,2,0,-1
05-23-2020,19,0,-1,1,0,-1
05-24-2020,20,0,-1,1,0,-1
05-25-2020,21,0,-1,1,0,-1
05-26-2020,21,0,-1,0,0,-1
05-27-2020,21,0,-1,0,0,-1
05-28-2020,22,0,-1,1,0,-1
05-29-2020,22,0,-1,0,0,-1
05-30-2020,23,0,-1,1,0,-1
05-31-2020,23,0,-1,0,0,-1
06-01-2020,24,0,-1,1,0,-1
06-02-2020,25,0,-1,1,0,-1
06-03-2020,25,0,-1,0,0,-1
06-04-2020,25,0,-1,0,0,-1
06-05-2020,25,0,-1,0,0,-1
06-06-2020,25,0,-1,0,0,-1
06-07-2020,29,0,-1,4,0,-1
06-08-2020,29,0,-1,0,0,-1
06-09-2020,31,0,-1,2,0,-1
06-10-2020,31,0,17,0,0,-1
06-11-2020,31,0,17,0,0,0
06-12-2020,31,0,17,0,0,0
06-13-2020,32,0,17,1,0,0
06-14-2020,32,0,17,0,0,0
06-15-2020,32,0,17,0,0,0
06-16-2020,34,0,18,2,0,1
06-17-2020,36,0,19,2,0,1
06-18-2020,39,0,19,3,0,0
06-19-2020,45,0,19,6,0,0
06-20-2020,46,0,19,1,0,0
06-21-2020,55,0,19,9,0,0
06-22-2020,63,0,21,8,0,2
06-23-2020,72,0,21,9,0,0
06-24-2020,76,0,21,4,0,0
06-25-2020,102,0,21,26,0,0
06-26-2020,121,0,22,19,0,1
06-27-2020,136,0,22,15,0,0
06-28-2020,183,0,24,47,0,2
06-29-2020,196,0,24,13,0,0
06-30-2020,205,0,24,9,0,0
07-01-2020,285,0,24,80,0,0
07-02-2020,293,0,24,8,0,0
07-03-2020,350,0,25,57,0,1
07-04-2020,375,0,25,25,0,0
07-05-2020,412,0,25,37,0,0
07-06-2020,485,0,25,73,0,0
07-07-2020,539,0,25,54,0,0
07-08-2020,593,0,25,54,0,0
07-09-2020,615,0,25,22,0,0
07-10-2020,667,1,25,52,1,0
07-11-2020,713,1,25,46,0,0
07-12-2020,785,1,26,72,0,1
07-13-2020,861,1,28,76,0,2
07-14-2020,864,2,29,3,1,1
07-15-2020,960,2,31,96,0,2
07-16-2020,1032,2,31,72,0,0
07-17-2020,1078,2,32,46,0,1
07-18-2020,1203,2,32,125,0,0
07-19-2020,1247,3,35,44,1,3
07-20-2020,1344,4,42,97,1,7
07-21-2020,1366,7,57,22,3,15
07-22-2020,1402,7,64,36,0,7
07-23-2020,1522,7,69,120,0,5
07-24-2020,1618,7,72,96,0,3
07-25-2020,1687,7,72,69,0,0
07-26-2020,1775,8,75,88,1,3
07-27-2020,1843,8,101,68,0,26
07-28-2020,1917,8,104,74,0,3
07-29-2020,1986,9,104,69,1,0
07-30-2020,2052,10,164,66,1,60
07-31-2020,2129,10,166,77,0,2
08-01-2020,2224,11,171,95,1,5
08-02-2020,2294,11,187,70,0,16
08-03-2020,2406,12,187,112,1,0
08-04-2020,2470,12,211,64,0,24
08-05-2020,2540,12,556,70,0,345
08-06-2020,2652,15,563,112,3,7
08-07-2020,2802,16,575,150,1,12
08-08-2020,2852,16,640,50,0,65
08-09-2020,2949,19,704,97,3,64
08-10-2020,3101,19,715,152,0,11
08-11-2020,3229,19,715,128,0,0
08-12-2020,3406,22,835,177,3,120
08-13-2020,3544,27,848,138,5,13
08-14-2020,3726,31,2342,182,4,1494
08-15-2020,3907,35,2352,181,4,10
08-16-2020,4154,35,2370,247,0,18
08-17-2020,4344,36,2379,190,1,9
08-18-2020,4464,37,2407,120,1,28
08-19-2020,4665,39,2426,201,2,19
08-20-2020,4912,41,2442,247,2,16
08-21-2020,5227,42,2457,315,1,15
08-22-2020,5538,46,2460,311,4,3
08-23-2020,5854,52,2509,316,6,49
08-24-2020,6030,56,2563,176,4,54
08-25-2020,6160,57,2732,130,1,169
